업소명;프랜차이즈명;시/도;군/구;읍/면/동;상세주소;전화번호
당신은지금치킨이땡긴다-논현2호점;당신은지금치킨이땡긴다;서울;강남구;논현동;108 논현웰스톤 지하2층 B201호 주방26호; 050352995352
당신은지금치킨이땡긴다-논현2호점;당신은지금치킨이땡긴다;서울;강남구;논현동;108 논현웰스톤 지하2층 B201호 주방26호; 050352995352
치킨이맛있는집-개포본점;;서울;강남구;개포동;1222-11 1층 101,102호; 050352577202
맘스터치-포이사거리점;맘스터치;서울;강남구;개포동;1229-6 1층 101호; 050352888378
맘스터치-포이사거리점;맘스터치;서울;강남구;개포동;1229-6 1층 101호; 050352888378
BHC-양재점;BHC;서울;강남구;개포동;1236-6 1층 102호; 050712900255
BHC-양재점;BHC;서울;강남구;개포동;1236-6 1층 102호; 050712900255
굽네치킨&피자-도곡2동점;굽네치킨;서울;강남구;도곡동;414-6 1층 101호; 050712947671
굽네치킨&피자-도곡2동점;굽네치킨;서울;강남구;도곡동;414-6 1층 101호; 050712947671
굽네치킨&피자-도곡2동점;굽네치킨;서울;강남구;도곡동;414-6 1층 101호; 050712947671
지코바치킨-대치1호점;지코바;서울;강남구;대치동;922-27 대치4동우편취급소 1층 101호; 050718657139
지코바치킨-대치1호점;지코바;서울;강남구;대치동;922-27 대치4동우편취급소 1층 101호; 050718657139
굽네치킨&피자-개포4동점;굽네치킨;서울;강남구;개포동;1221 지상1층; 050712941436
굽네치킨&피자-개포4동점;굽네치킨;서울;강남구;개포동;1221 지상1층; 050712941436
굽네치킨&피자-개포4동점;굽네치킨;서울;강남구;개포동;1221 지상1층; 050712941436
페리카나-개포3점;페리카나;서울;강남구;개포동;1218-22 지상1층; 050712902281
페리카나-개포3점;페리카나;서울;강남구;개포동;1218-22 지상1층; 050712902281
페리카나-개포3점;페리카나;서울;강남구;개포동;1218-22 지상1층; 050712902281
페리카나-개포3점;페리카나;서울;강남구;개포동;1218-22 지상1층; 050712902281
페리카나-개포3점;페리카나;서울;강남구;개포동;1218-22 지상1층; 050712902281
페리카나-개포3점;페리카나;서울;강남구;개포동;1218-22 지상1층; 050712902281
페리카나-개포3점;페리카나;서울;강남구;개포동;1218-22 지상1층; 050712902281
페리카나-개포3점;페리카나;서울;강남구;개포동;1218-22 지상1층; 050712902281
페리카나-개포3점;페리카나;서울;강남구;개포동;1218-22 지상1층; 050712902281
페리카나-개포3점;페리카나;서울;강남구;개포동;1218-22 지상1층; 050712902281
봉추찜닭-강남358타워점;봉추찜닭;서울;강남구;역삼동;826-14 강남358타워 강남358타워;
굼터치킨;;서울;강남구;도곡동;944-1 1층;
명가옛날통닭-역삼점;명가옛날통닭;서울;강남구;역삼동;840-7 1층 101호;
피자나라치킨공주-서울개포점;피자나라치킨공주;서울;강남구;개포동;1212-7 1층 103호; 050702790410
피자나라치킨공주-서울개포점;피자나라치킨공주;서울;강남구;개포동;1212-7 1층 103호; 050702790410
맘스터치-양재역점;맘스터치;서울;강남구;도곡동;956 서브원 강남빌딩 1층; 050352851370
바른치킨-개포점;바른치킨;서울;강남구;개포동;159-6; 050352932018
바른치킨-개포점;바른치킨;서울;강남구;개포동;159-6; 050352932018
바른치킨-개포점;바른치킨;서울;강남구;개포동;159-6; 050352932018
바른치킨-개포점;바른치킨;서울;강남구;개포동;159-6; 050352932018
바른치킨-개포점;바른치킨;서울;강남구;개포동;159-6; 050352932018
바른치킨-개포점;바른치킨;서울;강남구;개포동;159-6; 050352932018
설맥딜리버리-논현직영점;;서울;강남구;논현동;163-17 상당빌딩 101호; 050352855678
뉴욕치킨앤윙비어플러스;;서울;강남구;역삼동;646-4 2층;
치떡스치킨&떡볶이;;서울;강남구;역삼동;648-23 지하1층 15호;
치떡스치킨&떡볶이;;서울;강남구;역삼동;648-23 지하1층 15호;
치떡스치킨&떡볶이;;서울;강남구;역삼동;648-23 지하1층 15호;
마스터피킨;;서울;강남구;역삼동;719-24 역삼역센트럴푸르지오 b1층 123호; 050352902988
마스터피킨;;서울;강남구;역삼동;719-24 역삼역센트럴푸르지오 b1층 123호; 050352902988
청년치킨-역삼점;청년치킨;서울;강남구;역삼동;752-41 1층 1호; 050712985821
청년치킨-역삼점;청년치킨;서울;강남구;역삼동;752-41 1층 1호; 050712985821
청년치킨-역삼점;청년치킨;서울;강남구;역삼동;752-41 1층 1호; 050712985821
청년치킨-역삼점;청년치킨;서울;강남구;역삼동;752-41 1층 1호; 050712985821
청년치킨-역삼점;청년치킨;서울;강남구;역삼동;752-41 1층 1호; 050712985821
청년치킨-역삼점;청년치킨;서울;강남구;역삼동;752-41 1층 1호; 050712985821
청년치킨-역삼점;청년치킨;서울;강남구;역삼동;752-41 1층 1호; 050712985821
청년치킨-역삼점;청년치킨;서울;강남구;역삼동;752-41 1층 1호; 050712985821
영동옛날통닭-강남점;;서울;강남구;논현동;144-15 1층; 050352574391
영동옛날통닭-강남점;;서울;강남구;논현동;144-15 1층; 050352574391
영동옛날통닭-강남점;;서울;강남구;논현동;144-15 1층; 050352574391
영동옛날통닭-강남점;;서울;강남구;논현동;144-15 1층; 050352574391
영동옛날통닭-강남점;;서울;강남구;논현동;144-15 1층; 050352574391
미스터존슨바베큐-강남점;;서울;강남구;논현동;233-4, 지하층1호; 050712935330
미스터존슨바베큐-강남점;;서울;강남구;논현동;233-4, 지하층1호; 050712935330
청춘닭꼬치-역삼점;청춘닭꼬치;서울;강남구;역삼동;639-16 1층; 050352861444
청춘닭꼬치-역삼점;청춘닭꼬치;서울;강남구;역삼동;639-16 1층; 050352861444
서울제일치킨-강남본점;;서울;강남구;논현동;165-11 2층 3층; 050353718125
서울제일치킨-강남본점;;서울;강남구;논현동;165-11 2층 3층; 050353718125
청춘닭꼬치-강남점;청춘닭꼬치;서울;강남구;역삼동;639-16 1층; 050718646386
청춘닭꼬치-강남점;청춘닭꼬치;서울;강남구;역삼동;639-16 1층; 050718646386
사또치킨-압구정점;사또치킨;서울;강남구;신사동;615-1 코끼리상가 지상1층 10호; 050352420717
사또치킨-압구정점;사또치킨;서울;강남구;신사동;615-1 코끼리상가 지상1층 10호; 050352420717
서울3대치킨계열사-논현점;;서울;강남구;논현동;230-18 102호; 050718641198
서울3대치킨계열사-논현점;;서울;강남구;논현동;230-18 102호; 050718641198
은하수[:天の河];;서울;강남구;역삼동;811 3층; 050352930228
캘리포니아;;서울;강남구;신사동;526-1 1층;
네네치킨-강남신사점;네네치킨;서울;강남구;신사동;569-26 1층; 050712980639
맘스터치-강남논현점;맘스터치;서울;강남구;논현동;170-28 1층; 050352979540
맘스터치-강남논현점;맘스터치;서울;강남구;논현동;170-28 1층; 050352979540
신세계치밥도시락-삼성동점;;서울;강남구;삼성동;8-2 브라운스톤 레전드 8-2 브라운스톤 레전드 지하1층 B110호, B111호, 주방3호;
롯데리아-학동역점;롯데리아;서울;강남구;논현동;89-22 국제빌딩 지상1층; 050718647394
롯데리아-학동역점;롯데리아;서울;강남구;논현동;89-22 국제빌딩 지상1층; 050718647394
롯데리아-학동역점;롯데리아;서울;강남구;논현동;89-22 국제빌딩 지상1층; 050718647394
BHC-압구정역점;BHC;서울;강남구;신사동;566-35 지상1층; 050718614287
BHC-압구정역점;BHC;서울;강남구;신사동;566-35 지상1층; 050718614287
BHC-압구정역점;BHC;서울;강남구;신사동;566-35 지상1층; 050718614287
BHC-압구정역점;BHC;서울;강남구;신사동;566-35 지상1층; 050718614287
비스트로피자-강남1호점;비스트로피자;서울;강남구;논현동;262 262 지상1층 102호;
비스트로피자-강남1호점;비스트로피자;서울;강남구;논현동;262 262 지상1층 102호;
굽네치킨&피자-논현1동점;굽네치킨;서울;강남구;논현동;123-1 1층; 050712998752
굽네치킨&피자-논현1동점;굽네치킨;서울;강남구;논현동;123-1 1층; 050712998752
굽네치킨&피자-논현1동점;굽네치킨;서울;강남구;논현동;123-1 1층; 050712998752
굽네치킨&피자-논현1동점;굽네치킨;서울;강남구;논현동;123-1 1층; 050712998752
BBQ-신사가로수길점;BBQ;서울;강남구;신사동;535-8 한교빌딩 지상2층; 050352907156
BBQ-신사가로수길점;BBQ;서울;강남구;신사동;535-8 한교빌딩 지상2층; 050352907156
BBQ-신사가로수길점;BBQ;서울;강남구;신사동;535-8 한교빌딩 지상2층; 050352907156
BBQ-신사가로수길점;BBQ;서울;강남구;신사동;535-8 한교빌딩 지상2층; 050352907156
BBQ-신사가로수길점;BBQ;서울;강남구;신사동;535-8 한교빌딩 지상2층; 050352907156
BBQ-신사가로수길점;BBQ;서울;강남구;신사동;535-8 한교빌딩 지상2층; 050352907156
BBQ-신사가로수길점;BBQ;서울;강남구;신사동;535-8 한교빌딩 지상2층; 050352907156
싸움의고수-압구정점;싸움의고수;서울;강남구;신사동;620 압구정스퀘어 지상 1층 107호;
땅땅치킨-강남논현점;땅땅치킨;서울;강남구;논현동;191-3 1층 105호; 050352991376
깐부치킨-언주역점;깐부치킨;서울;강남구;논현동;192-3 프라임아파트 1층 103호;
깐부치킨-언주역점;깐부치킨;서울;강남구;논현동;192-3 프라임아파트 1층 103호;
둘둘치킨-역삼1호점;둘둘치킨;서울;강남구;역삼동;644-4 진남빌딩 2층;
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
피자나라치킨공주-강남논현점;피자나라치킨공주;서울;강남구;논현동;180-8; 050352904825
